sample_TAG,species,season,zone,site,num_increment,delta13C,delta15N,C_percent,N_percent,source,labels,taxa,feeding_mode,mobility,lip_dw_percent,class,stade,length_TL_cm,lon,lat
ENSIDIR_26_D1573,Ensis_directus,autumn,Fosse Sud,26,D1573,-19.1706731120201,9.645139449756257,45.5647837643687,12.375534414963251,CAPES,Ensis d.,Bivalves,Susp.,Mobile,NA,NA,NA,NA,NA,NA
ENSIDIR_59_D1572,Ensis_directus,autumn,Fosse Sud,59,D1572,-18.901922281290005,9.731513681860884,40.13372810612887,10.904733344166239,CAPES,Ensis d.,Bivalves,Susp.,Mobile,NA,NA,NA,NA,NA,NA
ENSIDIR_CAPES3_D1571,Ensis_directus,autumn,Fosse Sud,CAPES3,D1571,-18.310060798088973,11.515910865637242,42.57355219262311,6.959458113830587,CAPES,Ensis d.,Bivalves,Susp.,Mobile,NA,NA,NA,NA,NA,NA
HEDIDIV_14_D1556,Hediste_diversicolor,autumn,Fosse Nord,14,D1556,-19.042678446489152,13.58958187374565,49.68682261971441,12.598821660992138,CAPES,Hediste d.,Polychaetes,Omnivore,Mobile,NA,NA,NA,NA,NA,NA
LAGIKOR_59_D1393,Lagis_koreni,spring,Fosse Sud,59,D1393,-22.59327103907108,11.806617117421986,36.578867624121365,7.609227100280602,CAPES,Lagis k.,Polychaetes,Dep.sub.,Sedentary,NA,NA,NA,NA,NA,NA
LAGIKOR_47_D1462,Lagis_koreni,autumn,Embouchure,EM47,D1462,-20.604803872424277,10.90664389713741,40.39550829234669,9.790325988935521,CAPES,Lagis k.,Polychaetes,Dep.sub.,Sedentary,NA,NA,NA,NA,NA,NA
LAGIKOR_52_D1441,Lagis_koreni,autumn,Embouchure,EM52,D1441,-19.65540902210099,10.851966280220473,33.77747474112478,6.808591611285837,CAPES,Lagis k.,Polychaetes,Dep.sub.,Sedentary,NA,NA,NA,NA,NA,NA
LAGIKOR_CAPES1_D1368,Lagis_koreni,autumn,Embouchure,CAPES1,D1368,-17.866193175690356,12.316374165500973,25.653450556720664,6.60953008814151,CAPES,Lagis k.,Polychaetes,Dep.sub.,Sedentary,NA,NA,NA,NA,NA,NA
LAGIKOR_19_D1351,Lagis_koreni,autumn,Fosse Sud,FS19,D1351,-19.81233861457331,11.185874122669764,39.729157601208044,9.606667759279967,CAPES,Lagis k.,Polychaetes,Dep.sub.,Sedentary,NA,NA,NA,NA,NA,NA
LAGIKOR_26_D1523,Lagis_koreni,autumn,Fosse Sud,26,D1523,-20.633306716785498,11.551558578919554,42.17865575663834,10.396033062754988,CAPES,Lagis k.,Polychaetes,Dep.sub.,Sedentary,NA,NA,NA,NA,NA,NA
LAGIKOR_59_D1418,Lagis_koreni,autumn,Fosse Sud,59,D1418,-20.567543327813482,10.899464726838518,40.20812177620495,9.145082227854678,CAPES,Lagis k.,Polychaetes,Dep.sub.,Sedentary,NA,NA,NA,NA,NA,NA
LAGIKOR_CAPES3_D1503,Lagis_koreni,autumn,Fosse Sud,CAPES3,D1503,-19.01298950804186,11.223168466702276,42.52411422683473,11.02241736977497,CAPES,Lagis k.,Polychaetes,Dep.sub.,Sedentary,NA,NA,NA,NA,NA,NA
LANICON_19_D1355,Lanice_conchilega,autumn,Fosse Sud,19,D1355,-20.11752872030122,11.4036908853248,46.61445946671426,9.98335542382463,CAPES,Lanice c.,Polychaetes,Susp.Dep.sur.,Sedentary,NA,NA,NA,NA,NA,NA
LIMEBAL_12_D1414,Limecola_balthica,spring,Fosse Sud,FS12,D1414,-17.895952745177997,10.805225043659526,44.971916540699134,11.982268692107386,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
LIMEBAL_12_D1514,Limecola_balthica,spring,Fosse Sud,FS12,D1514,-18.836989075442446,10.609904584656423,46.13740326801201,10.835717147132284,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
LIMEBAL_19_D1451,Limecola_balthica,spring,Fosse Sud,FS19,D1451,-19.316847506615066,10.429491330293693,44.852779849840864,11.043551810164654,CAPES,Limecola b.,Bivalves,Susp.Dep.sur.,Low mobility,NA,NA,NA,NA,NA,NA
